uid,rms,flatness,centroid,band_energy,peak_freq,ridge_length,grad_t,grad_f,rolloff,bandwidth,zcr,contrast,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,label
legacy_match2_whistle_0001,0.1606343686580658,0.0101849772036075,2420.351158333145,-43.17733001708984,4091.30859375,54.0,1.8599389791488647,5.047855377197266,4354.23504125292,2145.963431326122,0.1896037164135514,21.930105287309093,0.0244883722626507,-84.13662719726562,99.0653076171875,-14.437005043029783,19.9832820892334,-22.985239028930664,1
legacy_match2_whistle_0002,0.1176295205950737,0.0017676367424428,2448.4134381944696,-46.4167594909668,4080.5419921875,43.0,1.8278887271881104,5.072696685791016,4402.150800151209,2037.5458416736235,0.2097351730510752,22.7003369820746,0.0235004221840101,-189.8340759277344,99.24591827392578,9.387755393981934,64.01026916503906,-11.8096284866333,1
legacy_match2_whistle_0003,0.1110168024897575,0.0075417351908981,1901.9614649725795,-43.99576187133789,4112.841796875,51.0,1.8678818941116333,4.811481475830078,3745.5810546875,1958.060060859484,0.1331651475694444,21.67601077386892,-0.001330959117385,-121.15470123291016,125.77099609375,-18.575035095214844,43.72697067260742,-13.236515998840332,1
legacy_match2_whistle_0004,0.093736246228218,0.0160289071500301,2505.3632060432374,-34.883575439453125,4102.0751953125,45.0,1.868751764297485,4.647119045257568,4934.859306867733,2302.0896882452003,0.1635117641715116,22.33688640142346,0.0114015391312691,-105.74111938476562,101.71444702148438,-12.924025535583496,47.13755798339844,-20.387086868286133,0
legacy_match2_whistle_0005,0.1599180847406387,0.0127453841269016,2199.211232297813,-44.476837158203125,3682.177734375,47.0,1.816808104515076,5.0072126388549805,4508.269708806818,2192.3155302596983,0.1244673295454545,23.237110717731035,-0.0074737946179012,-58.59491729736328,101.67572784423828,-30.93835830688477,6.274321556091309,-22.209453582763672,1
legacy_match2_whistle_0006,0.0666794702410698,0.005648551043123,2344.209721529296,-44.820560455322266,4069.775390625,61.0,1.806409478187561,5.00543212890625,4223.995584837148,2065.621900524852,0.2070450044014084,22.549612189249203,0.0226547842040903,-182.50363159179688,112.97840881347656,-10.47898292541504,39.56853485107422,-24.943172454833984,1
legacy_match2_whistle_0007,0.0634051859378814,0.0038727775681763,2320.3344575459755,-44.946868896484375,3639.111328125,47.0,1.8007649183273315,5.174748420715332,4410.873811141304,2035.3849837496653,0.2146031476449275,22.876427534793745,0.0231169994269679,-202.8208923339844,113.94698333740234,-4.589513301849365,47.44657516479492,-19.33089828491211,1
legacy_match2_whistle_0008,0.1342519074678421,0.0096763195469975,2037.086390873279,-46.63352584838867,4059.0087890625,43.0,1.8406174182891848,5.105884075164795,4226.682775160845,2098.550220670208,0.122414981617647,22.30208099523439,-0.005440331435131,-92.09773254394533,114.87887573242188,-25.989910125732425,15.382503509521484,-23.17098426818848,1
legacy_match2_whistle_0009,0.1587667018175125,0.0056438408792018,1900.728358352786,-42.47078704833984,4155.908203125,27.0,1.8667711019515991,5.089315414428711,3752.16064453125,1979.2593751412928,0.1254730224609375,22.924659198412016,0.0146209401526394,-66.64152526855469,127.6808624267578,-34.27116394042969,3.2746644020080566,-34.76902389526367,1
legacy_match2_whistle_0010,0.1392066180706024,0.0078601595014333,2190.5568485951626,-43.81118392944336,3843.6767578125,31.0,1.84277868270874,4.724846363067627,4456.53190612793,2174.541373190966,0.1121749877929687,22.755601323596345,0.0353680625689113,-98.82766723632812,104.04886627197266,-22.769939422607425,31.25312042236328,-17.17997169494629,0
legacy_match2_whistle_0011,0.1814772486686706,0.0101140877231955,2319.075313931225,-45.28348922729492,4112.841796875,54.0,1.8604295253753664,5.118441581726074,4914.873265508396,2273.85557167206,0.1211447644589552,23.9511945363164,-0.0151790340065163,-48.90920639038086,95.34937286376952,-25.48224449157715,5.685327529907227,-28.243284225463867,1
legacy_match2_whistle_0012,0.1128306165337562,0.0058897174894809,2274.733529202273,-38.7622184753418,4209.7412109375,88.0,1.83529269695282,5.015783786773682,3964.629217918883,1898.44385019429,0.1854793467420212,23.266869833484616,-0.0009201038671211,-119.61112213134766,113.41297149658205,-42.229339599609375,31.836599349975582,-21.9716796875,1
legacy_match2_whistle_0013,0.0958477035164833,0.0057707163505256,2294.48129811783,-43.10559844970703,4059.0087890625,49.0,1.8409342765808103,4.96870231628418,4039.348038383152,2000.9885876531664,0.192802097486413,22.448270662341606,0.0120208894777502,-127.9072265625,112.35216522216795,-26.43320655822754,43.67778396606445,-15.472543716430664,1
legacy_match2_whistle_0014,0.1693846136331558,0.0074443677440285,2038.8312313286103,-46.049991607666016,3703.7109375,47.0,1.7997294664382937,4.971779823303223,4220.25146484375,2090.8877517968126,0.1219656808035714,22.89165033329704,0.0089266585964803,-58.74119186401367,115.31490325927734,-34.33194732666016,-2.0680415630340576,-33.867557525634766,1
legacy_match2_whistle_0015,0.1602451354265213,0.0046736970543861,2075.0995068225,-46.1259651184082,4059.0087890625,51.0,1.7742551565170288,5.05048942565918,4437.63427734375,2195.9003079931485,0.1167060004340277,23.9453891695758,-0.0074210275365448,-87.49130249023438,104.05947875976562,-18.503347396850582,23.596813201904297,-21.939903259277344,1
legacy_match2_whistle_0016,0.1225352585315704,0.0087026823312044,1911.5265406653543,-42.15566635131836,3714.4775390625,51.0,1.8150534629821773,4.986886501312256,3894.511471518988,2045.498229160238,0.1248825652689873,21.97937770152168,0.0051152370028174,-84.52840423583984,126.487060546875,-25.94474029541016,17.489749908447266,-24.162199020385746,1
legacy_match2_whistle_0017,0.0907098799943924,0.0069011193700134,2272.434409842225,-43.44353485107422,4091.30859375,45.0,1.817612171173096,5.0612897872924805,4378.9921875,2157.7210667201102,0.18677734375,22.72786918281013,0.0094797379694548,-143.51638793945312,111.099365234375,-7.99176025390625,42.49689102172852,-16.927167892456055,1
legacy_match2_whistle_0018,0.1370108723640442,0.0062322854064404,1943.635561744612,-41.79999542236328,3649.8779296875,32.0,1.786662220954895,4.777398586273193,3738.565528998941,1898.89117754972,0.1232454978813559,23.53724416354696,0.0026459573737463,-100.34617614746094,113.62322998046876,-37.22019577026367,39.9268913269043,-3.038433790206909,0
legacy_match2_whistle_0019,0.1168128475546836,0.0063945562578737,2022.473341516806,-47.471954345703125,3628.3447265625,57.0,1.8275535106658936,5.15084981918335,3838.147962415541,1903.092782382216,0.1568834459459459,23.55565841482148,-0.0040878211256642,-104.83032989501952,122.73133850097656,-37.89704132080078,39.02922058105469,-13.585969924926758,1
legacy_match2_whistle_0020,0.1358653455972671,0.0105914380401372,2322.490782101995,-38.83927154541016,3692.9443359375,72.0,1.8617721796035769,4.833460330963135,4664.874822443182,2252.743673349412,0.1327560046487603,22.84896985212842,0.0034350877331237,-87.67149353027344,106.77574920654295,-21.30938148498535,30.68618965148925,-20.85064697265625,0
legacy_match2_whistle_0021,0.1832288056612014,0.0081735327839851,2123.568966716409,-43.91595458984375,3660.64453125,43.0,1.824122428894043,5.043234825134277,4451.512744758703,2157.734469272124,0.1144494165348101,23.75555808740237,-0.0055199504102056,-48.99082946777344,104.87308502197266,-30.130510330200195,13.086570739746094,-19.298717498779297,1
legacy_match2_whistle_0022,0.1166420802474021,0.0023853408638387,1977.373758518201,-49.06294631958008,4069.775390625,50.0,1.808418154716492,4.97216796875,3649.0744519589553,2033.2533074541225,0.1436275652985074,22.8964993846872,-0.0154057216664856,-146.3605194091797,122.72637176513672,-5.171020984649658,42.85387420654297,-13.552786827087402,1
legacy_match2_whistle_0023,0.1226172000169754,0.0071395342238247,1993.8910181145664,-44.57054138183594,3671.4111328125,51.0,1.9350556135177608,4.653337001800537,4138.357167701199,2131.4772133667657,0.1031611194349315,22.24015454505305,0.0094002069601272,-113.6925811767578,119.73845672607422,-23.871137619018555,24.71199989318848,-6.026815414428711,0
