uid,rms,flatness,centroid,band_energy,peak_freq,ridge_length,grad_t,grad_f,rolloff,bandwidth,zcr,contrast,tonnetz,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,label,peak_std,bandwidth_hz,ridge
match4_0000137763_0000137822,0.1168230101466178,0.002352476352825761,1363.3640014038176,-55.1328239440918,3789.84375,10.0,1.7387101650238037,4.530816555023193,2009.2134915865383,1488.3745480081477,0.0735051081730769,20.900200835593328,0.0118685439394804,-159.50234985351562,153.65426635742188,-35.18057632446289,-8.985186576843262,-43.580936431884766,0,186.99414681132714,441.4306640625,10.0
match4_0000189358_0000189416,0.0249391570687294,0.012915248982608318,3674.0523321007963,-34.0335578918457,4198.974609375,10.0,1.7275115251541138,4.456119537353516,7226.874248798077,2730.652748605072,0.2817758413461538,22.9138986072659,-0.013549122169706,-294.8852844238281,59.397274017333984,17.91819190979004,65.53356170654297,-6.663046836853027,0,10.04993844084604,21.533203125,10.0
match4_0000213913_0000213971,0.1853582859039306,0.001608187798410654,3496.3274124652066,-39.40348052978516,3908.2763671875,7.0,2.02095627784729,4.9138994216918945,4299.1868239182695,1803.3141261797543,0.2869966947115384,22.25064597866356,0.009750878350526,-235.5341644287109,24.992576599121094,14.026962280273438,84.94458770751953,-28.090330123901367,1,13.329273241496866,43.06640625,7.0
match4_0000314711_0000314769,0.1248998790979385,0.014084100723266602,2745.5330187935756,-35.12340545654297,4048.2421875,7.0,1.83132803440094,4.680509090423584,4572.4928635817305,2167.298350756996,0.2038762019230769,22.957266445672825,0.0370830350090942,-117.05696105957033,74.82344055175781,-32.05940246582031,40.30744171142578,-10.182601928710938,1,27.909598428371975,96.8994140625,7.0
match4_0000434242_0000434300,0.1342469006776809,0.005002451594918966,1921.6017818115383,-38.374267578125,3962.109375,8.0,1.9183155298233032,4.906444072723389,3591.075721153846,1862.3805863337843,0.13427734375,22.66910714022828,0.011399139193922,-100.2874755859375,119.14231872558594,-47.908836364746094,3.0112783908843994,-26.215749740600582,1,7.830408551310994,21.533203125,8.0
match4_0000471962_0000472021,0.1115972995758056,0.006160361226648092,3821.3297919122315,-32.28549575805664,4026.708984375,8.0,1.922701835632324,4.837480068206787,5823.903245192308,2056.2279506974733,0.3236553485576923,23.05135395449613,0.0224100747399893,-192.6334381103516,40.00408554077149,-13.877147674560549,60.79302215576172,-12.95785903930664,1,13.584007191861678,32.2998046875,8.0
match4_0000512226_0000512284,0.1045651510357856,0.019101306796073914,3011.979660617102,-33.99883270263672,3714.4775390625,4.0,1.778583288192749,4.413549423217773,6579.221754807692,2571.8229387369747,0.21337890625,22.983563747289647,0.0517354855728597,-93.48118591308594,83.67479705810547,-22.213497161865234,20.212736129760746,-23.59676742553711,0,10.587993576993243,43.06640625,4.0
match4_0000518426_0000518484,0.0858466923236846,0.010272238403558731,2594.3883112373833,-32.2635612487793,4123.6083984375,7.0,1.876247763633728,4.596100330352783,4420.932241586538,2199.1770332722267,0.2450420673076923,22.91175999709633,-0.0098359844553096,-122.81046295166016,105.28235626220705,-35.78379440307617,26.661865234375,-35.80392837524414,1,5.309932312614802,21.533203125,7.0
match4_0000555728_0000555787,0.1568892300128936,0.004187297075986862,2412.539973424831,-36.51274108886719,4134.375,9.0,1.9233818054199217,4.3944854736328125,4161.705603966346,2173.06405581439,0.1838942307692307,24.13912609836248,-0.0133578503647676,-123.93563842773438,102.83383178710938,-22.34064483642578,45.3306884765625,-18.5063591003418,1,10.959929220708919,32.2998046875,9.0
match4_0000627902_0000627960,0.0321515835821628,0.004668879322707653,1834.057603496322,-35.101497650146484,3972.8759765625,8.0,1.9603842496871948,4.4385457038879395,3546.352914663461,1937.5453156933804,0.1122295673076923,23.3062787818712,0.0134192078204311,-246.37957763671875,133.453125,-27.064218521118164,23.62380790710449,-14.257410049438477,0,50.53137705261451,53.8330078125,8.0
match4_0000654210_0000654268,0.133110761642456,0.03084491565823555,3415.2779288603174,-31.550806045532227,3703.7109375,8.0,1.9769287109375,4.277202129364014,6210.672701322115,2386.335644671828,0.2410982572115384,20.13648715953305,-0.0264539480100725,-104.67814636230467,42.798583984375,-6.518401145935059,55.77256774902344,-12.926586151123049,0,143.49069842985875,495.263671875,8.0
match4_0000665147_0000665205,0.1702029407024383,0.006696178577840328,2714.534968833616,-31.939498901367188,4112.841796875,7.0,1.8948478698730469,4.854247093200684,4546.8186598557695,2201.265638726,0.2182241586538461,25.64391080700683,-0.0090218963381223,-91.40750885009766,84.55320739746094,-39.33267974853516,44.62720489501953,-13.008123397827148,1,17.18368487931195,43.06640625,7.0
match4_0000722320_0000722378,0.1182886809110641,0.0070785400457680225,2735.6281499339557,-33.292022705078125,4091.30859375,13.0,2.396315574645996,4.409286975860596,4284.279221754808,2150.9659406793958,0.21826171875,24.559357642022224,0.0220747845136224,-115.775634765625,101.06974792480467,-40.50682067871094,31.714405059814453,-28.705272674560547,1,18.325774917767323,43.06640625,13.0
match4_0000747444_0000747502,0.1168104857206344,0.005215478595346212,2355.6609353004815,-38.78693389892578,4145.1416015625,10.0,2.20253849029541,4.369482040405273,4237.071814903846,2160.7797356564097,0.1921950120192307,24.116440323691403,0.0030256603855658,-114.77629852294922,113.23713684082033,-39.53802490234375,3.339327096939087,-42.90241241455078,1,14.772424494701612,53.8330078125,10.0
match4_0000764586_0000764644,0.1077714711427688,0.0029251149389892817,2854.5728252391054,-29.721101760864254,3757.5439453125,5.0,1.7896931171417236,4.958817481994629,4141.8288010817305,2137.479203630149,0.2862079326923077,22.039477591903538,-0.0368645528706248,-172.62838745117188,91.19438934326172,-11.939967155456545,49.78948593139648,-40.062965393066406,1,136.2517309516356,322.998046875,5.0
match4_0000777020_0000777079,0.1509605646133422,0.007277269382029772,2247.03917327784,-36.56309509277344,4048.2421875,9.0,1.9132729768753047,4.235870838165283,4024.224384014423,2060.628735435205,0.1862229567307692,24.41894595654752,0.0331636315107962,-92.03978729248048,112.11216735839844,-37.24480056762695,17.331575393676758,-26.56879425048828,1,23.061870287229947,43.06640625,9.0
match4_0000814172_0000814230,0.0278712604194879,0.004318844061344862,1743.39354906443,-36.27749633789063,3703.7109375,12.0,1.7760459184646606,4.450551509857178,3405.558894230769,1883.8952670768044,0.1170748197115384,22.3048162773064,-0.0028767064376711,-253.3447113037109,140.75918579101562,-29.420825958251957,46.98297500610352,1.6642016172409058,0,17.550637688422142,107.666015625,12.0
match4_0000843284_0000843342,0.1300757527351379,0.004083557054400444,3292.7993717563195,-29.318986892700195,3714.4775390625,6.0,2.005980491638184,4.817468643188477,4749.727689302885,2203.8490491991643,0.3000676081730769,24.31089673204272,-0.0309103694543392,-171.1328887939453,80.36851501464844,-8.296113967895508,45.80268859863281,-47.16693878173828,1,141.45476631232893,21.533203125,6.0
match4_0000848590_0000848648,0.1082472056150436,0.017632771283388138,3012.599878642731,-30.66807174682617,4080.5419921875,10.0,1.8557051420211792,4.772636413574219,5301.308969350962,2326.0170840707506,0.2205153245192307,24.304934164420104,-0.0084954906603904,-131.74459838867188,67.87464904785156,-5.8289313316345215,45.331844329833984,-31.11800193786621,1,9.64797292973151,32.2998046875,10.0
